package_id,block_type,congress,bill_type,bill_num,action_date,n_words,text_sha,score,score_max,n_chunks,scored_words,top_bucket,month,post,pre,dup_group,is_first_appearance,recycled_from_pre,origin_chamber,introduced_date,policy_area,sponsor_bioguide,sponsor_party,sponsor_state,public_law_number,n_cosponsors,n_cosponsors_opposite,n_cosponsors_orig,n_cosponsors_opposite_orig,bipartisan_share,bipartisan_share_orig,is_bipartisan,is_bipartisan_orig,reported_all,passed_house_all,passed_senate_all,presented_all,became_law_all,max_stage_all,reported_12m,passed_house_12m,passed_senate_12m,presented_12m,became_law_12m,max_stage_12m,chamber_majority,sponsor_in_majority,max_stage_possible,stage_frac_all,succeeded_all,stage_frac_12m,succeeded_12m,n_actions,window_complete,commem,bioguide,freshman,birth_year,member_age,gender,n_terms,born_after_1980,topic_international_affairs,topic_health,topic_armed_forces_and_national_secu,topic_crime_and_law_enforcement,topic_government_operations_and_poli,topic_education,"topic_civil_rights_and_liberties,_mi",topic_public_lands_and_natural_resou,"topic_science,_technology,_communica",topic_immigration,topic_environmental_protection,topic_congress,topic_finance_and_financial_sector,topic_labor_and_employment,topic_transportation_and_public_work,sen_pct,is_house,office_capacity,high_capacity,senior_majority,is_freshman,is_republican,is_resolution,ln_words,ln_cosponsors,is_119,is_likely_ai
BILLS-118hres1143ih,preamble,118,hres,1143,2024-04-15,198,7e63daa91ed5ea26102ff7e8f3b5416a,0.2388799999999999,0.23888,1,189,0,2024-04,True,False,eef6d361500691cbf96bbad3,True,False,House,2024-04-15,International Affairs,K000398,R,NJ,,45,4,42,2,0.0888888888888888,0.0476190476190476,1.0,True,False,True,False,False,False,2,False,True,False,False,False,2,R,1.0,2,1.0,True,1.0,True,15,True,False,K000398,True,1968.0,58.0,M,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.33641279855790895,0.0,0.09103199639477241,1.0,1.0,1.0,5.288267030694535,3.828641396489095,0.0,0.0
BILLS-118hres1144ih,preamble,118,hres,1144,2024-04-15,1351,af7a05b24150131adffe7da9dbf653bd,0.1198583018867924,0.19063,4,1325,0,2024-04,True,False,d4bc27eeb6619e6458ccbcc5,True,False,House,2024-04-15,"Science, Technology, Communications",I000056,R,CA,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,7,True,True,I000056,False,1953.0,73.0,M,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861198738170347,1.0,0.6444794952681387,1.0,0.861198738170347,0.0,1.0,1.0,7.208600337960199,0.0,0.0,0.0
BILLS-118hres1145ih,preamble,118,hres,1145,2024-04-15,397,118ce06598eada8ce62030326c457e02,0.15008,0.15008,1,350,0,2024-04,True,False,1be7c42ebe683c89fdaddcda,True,False,House,2024-04-15,Education,C001069,D,CT,,18,2,16,2,0.1111111111111111,0.125,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,5,True,True,C001069,False,1953.0,73.0,M,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917981072555205,1.0,0.3167192429022082,0.0,0.0,0.0,0.0,1.0,5.983936280687191,2.9444389791664403,0.0,0.0
BILLS-118hres1146ih,preamble,118,hres,1146,2024-04-15,439,47dc56d1e2a45955679acc9f4b66ea75,0.0931395348837209,0.1102,2,430,0,2024-04,True,False,58e5cc925b393d4da808f260,True,False,House,2024-04-15,Government Operations and Politics,N000147,D,DC,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,5,True,True,N000147,False,1937.0,89.0,F,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725101397025687,1.0,0.3890040558810275,0.0,0.0,0.0,0.0,1.0,6.0844994130751715,0.0,0.0,0.0
BILLS-118hres1148ih,preamble,118,hres,1148,2024-04-15,1375,1232c0e6ccfbd5e8110c3ddae6d92c06,0.2508692756836659,0.34184,4,1353,1,2024-04,True,False,9bdd3e44f731163026ee99bf,True,False,House,2024-04-15,International Affairs,W000814,R,TX,,227,72,142,27,0.3171806167400881,0.1901408450704225,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,5,True,False,W000814,False,1953.0,73.0,M,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599819738621,1.0,0.56399278954484,0.0,0.6599819738621,0.0,1.0,1.0,7.226209010100671,5.429345628954441,0.0,0.0
BILLS-118hres1150ih,preamble,118,hres,1150,2024-04-16,156,f6474aeaae36a09500cbebe03a46e1db,0.04353,0.04353,1,149,0,2024-04,True,False,a791b75a078f5c1c80798a99,True,False,House,2024-04-16,Taxation,C001103,R,GA,,1,0,1,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,5,True,True,C001103,False,1957.0,69.0,M,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5790896800360523,1.0,0.531635872014421,0.0,0.5790896800360523,0.0,1.0,1.0,5.049856007249537,0.6931471805599453,0.0,0.0
BILLS-118hres1151ih,preamble,118,hres,1151,2024-04-16,273,f413d23d3538f07a4109dadea65177a6,0.04233,0.04233,1,261,0,2024-04,True,False,f2c8f3a58b72d12e014ec231,True,False,House,2024-04-16,Armed Forces and National Security,C001069,D,CT,,21,6,21,6,0.2857142857142857,0.2857142857142857,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,5,True,True,C001069,False,1953.0,73.0,M,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917981072555205,1.0,0.3167192429022082,0.0,0.0,0.0,0.0,1.0,5.60947179518496,3.091042453358316,0.0,0.0
BILLS-118hres1152ih,preamble,118,hres,1152,2024-04-16,1311,7ed7db0c20721a5a6b1d131addf0ca6a,0.6020076923076922,0.84421,4,1300,3,2024-04,True,False,a53bf0f418e74783e5e3cbd7,True,False,House,2024-04-16,Crime and Law Enforcement,C001121,D,CO,,29,0,24,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,5,True,True,C001121,False,1979.0,47.0,M,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722397476340694,1.0,0.14889589905362777,0.0,0.0,0.0,0.0,1.0,7.1785454837637,3.4011973816621555,0.0,1.0
BILLS-118hres1153ih,preamble,118,hres,1153,2024-04-17,822,c1b471fd25357b7480543f5fa6e3ca2e,0.1866513043478261,0.29454,3,805,1,2024-04,True,False,5a79091c806f33f5268e3138,True,False,House,2024-04-17,Health,A000370,D,NC,,48,0,37,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,6,True,True,A000370,False,1946.0,80.0,F,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6599819738621,1.0,0.26399278954484,0.0,0.0,0.0,0.0,1.0,6.71174039505618,3.8918202981106265,0.0,0.0
BILLS-118hres1154ih,preamble,118,hres,1154,2024-04-17,503,0d10c1aabda37dc5cd8e69d8f703210d,0.2439124640657084,0.26462,2,487,1,2024-04,True,False,4b9ed7fa2b1ec6be24d56cc0,True,False,House,2024-04-17,Finance and Financial Sector,B001281,D,OH,,19,6,19,6,0.3157894736842105,0.3157894736842105,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,4,True,True,B001281,False,1950.0,76.0,F,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6599819738621,1.0,0.26399278954484,0.0,0.0,0.0,0.0,1.0,6.220590170099739,2.995732273553991,0.0,0.0
