package_id,block_type,congress,bill_type,bill_num,action_date,n_words,text_sha,score,score_max,n_chunks,scored_words,top_bucket,month,post,pre,dup_group,is_first_appearance,recycled_from_pre,origin_chamber,introduced_date,policy_area,sponsor_bioguide,sponsor_party,sponsor_state,public_law_number,n_cosponsors,n_cosponsors_opposite,n_cosponsors_orig,n_cosponsors_opposite_orig,bipartisan_share,bipartisan_share_orig,is_bipartisan,is_bipartisan_orig,reported_all,passed_house_all,passed_senate_all,presented_all,became_law_all,max_stage_all,reported_12m,passed_house_12m,passed_senate_12m,presented_12m,became_law_12m,max_stage_12m,chamber_majority,sponsor_in_majority,max_stage_possible,stage_frac_all,succeeded_all,stage_frac_12m,succeeded_12m,n_actions,window_complete,commem,bioguide,freshman,birth_year,member_age,gender,n_terms,born_after_1980,topic_international_affairs,topic_health,topic_armed_forces_and_national_secu,topic_crime_and_law_enforcement,topic_government_operations_and_poli,topic_education,"topic_civil_rights_and_liberties,_mi",topic_public_lands_and_natural_resou,"topic_science,_technology,_communica",topic_immigration,topic_environmental_protection,topic_congress,topic_finance_and_financial_sector,topic_labor_and_employment,topic_transportation_and_public_work,sen_pct,is_house,office_capacity,high_capacity,senior_majority,is_freshman,is_republican,is_resolution,ln_words,ln_cosponsors,is_119,is_likely_ai
BILLS-119sres451is,preamble,119,sres,451,2025-10-15,767,f3aa5097c010a651e515abde308eabb6,0.5280068874172186,0.59379,3,755,3,2025-10,True,False,ba1b29270b744f93eaa3efc8,True,False,Senate,2025-10-15,Crime and Law Enforcement,S001217,R,FL,,3,0,1,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,3,False,False,S001217,False,1952.0,74.0,M,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13348623853211,0.0,0.653394495412844,1.0,0.13348623853211,0.0,1.0,1.0,6.642486801367256,1.3862943611198906,1.0,1.0
BILLS-119sres454is,preamble,119,sres,454,2025-10-16,377,8e1aa92597061f9febc25eaeb7a588ba,0.13237,0.13237,1,350,0,2025-10,True,False,4f0710b10db193ace954acbf,True,False,Senate,2025-10-16,Animals,W000800,D,VT,,2,0,0,0,0.0,,0.0,False,False,False,True,False,False,2,False,False,True,False,False,2,R,0.0,2,1.0,True,1.0,True,9,False,True,W000800,False,1947.0,79.0,M,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8105504587155963,0.0,0.6242201834862385,1.0,0.0,0.0,0.0,1.0,5.932245187448011,1.0986122886681098,1.0,0.0
BILLS-119sres457is,preamble,119,sres,457,2025-10-20,229,78e1798f8b83dd39c7e62956b23d3027,0.1589,0.1589,1,226,0,2025-10,True,False,0bf87a82807cf033e99722b2,True,False,Senate,2025-10-20,Environmental Protection,L000571,R,WY,,9,0,9,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,3,False,True,L000571,False,1954.0,72.0,F,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6440366972477064,0.0,0.8576146788990826,1.0,0.6440366972477064,0.0,1.0,1.0,5.43372200355424,2.302585092994046,1.0,0.0
BILLS-119sres459is,preamble,119,sres,459,2025-10-21,130,73d025d7548c1062b07e8194b227a054,0.13503,0.13503,1,126,0,2025-10,True,False,02abf66e3226a7d0ca43b20d,True,False,Senate,2025-10-21,International Affairs,D000618,R,MT,,4,3,4,3,0.75,0.75,1.0,True,False,False,True,False,False,2,False,False,True,False,False,2,R,1.0,2,1.0,True,1.0,True,9,False,True,D000618,False,1962.0,64.0,M,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394495412844037,0.0,0.7357798165137615,1.0,0.3394495412844037,0.0,1.0,1.0,4.867534450455582,1.6094379124341005,1.0,0.0
BILLS-119sres460is,preamble,119,sres,460,2025-10-21,179,cef55af8d4160198af74ecdc27d1c6cc,0.24249,0.24249,1,168,1,2025-10,True,False,89416d8eafb5da5c1b0d91f1,True,False,Senate,2025-10-21,Health,C001075,R,LA,,1,0,1,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,3,False,True,C001075,False,1957.0,69.0,M,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440366972477064,0.0,0.8576146788990826,1.0,0.6440366972477064,0.0,1.0,1.0,5.187385805840755,0.6931471805599453,1.0,0.0
BILLS-119sres461is,preamble,119,sres,461,2025-10-21,239,a4759ca7e5b8ad8919ad9e5b24f70f37,0.41423,0.41423,1,232,1,2025-10,True,False,a1b48a6c7b26a5df5f32a179,True,False,Senate,2025-10-21,Energy,M001243,R,PA,,1,1,1,1,1.0,1.0,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,3,False,True,M001243,True,1965.0,61.0,M,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348623853211009,0.0,0.6139449541284403,1.0,0.0348623853211009,1.0,1.0,1.0,5.476463551931511,0.6931471805599453,1.0,1.0
BILLS-119sres462is,preamble,119,sres,462,2025-10-22,228,374a0da97a4a7106c713136cb23356b0,0.36525,0.36525,1,226,1,2025-10,True,False,e879304163416344396ec236,True,False,Senate,2025-10-22,International Affairs,D000563,D,IL,,5,2,5,2,0.4,0.4,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,3,False,True,D000563,False,1944.0,82.0,M,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9059633027522936,0.0,0.6623853211009174,1.0,0.0,0.0,0.0,1.0,5.429345628954441,1.791759469228055,1.0,1.0
BILLS-119sres463is,preamble,119,sres,463,2025-10-23,583,324418582f79058d73e8335f540d5e2b,0.1367456097560975,0.15452,2,574,0,2025-10,True,False,acd53c5e117426d372b503d3,True,False,Senate,2025-10-23,International Affairs,C001098,R,TX,,14,5,5,1,0.3571428571428571,0.2,1.0,True,False,False,True,False,False,2,False,False,True,False,False,2,R,1.0,2,1.0,True,1.0,True,10,False,False,C001098,False,1970.0,56.0,M,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394495412844037,0.0,0.7357798165137615,1.0,0.3394495412844037,0.0,1.0,1.0,6.368187186350492,2.70805020110221,1.0,0.0
BILLS-119sres466is,preamble,119,sres,466,2025-10-23,235,7dcd9a2f3b9a33adea90347298f91f12,0.24793,0.24793,1,223,0,2025-10,True,False,b1b6650bfcd745d4586dfb74,True,False,Senate,2025-10-23,Crime and Law Enforcement,W000817,D,MA,,14,0,1,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,3,False,False,W000817,False,1949.0,77.0,F,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394495412844037,0.0,0.4357798165137614,0.0,0.0,0.0,0.0,1.0,5.459585514144159,2.70805020110221,1.0,0.0
BILLS-119sres470is,preamble,119,sres,470,2025-10-28,512,7967320d12238aa878410db71a366830,0.2537927722772277,0.31443,2,505,1,2025-10,True,False,e1b588628a8e54f21608c439,True,False,Senate,2025-10-28,Government Operations and Politics,R000608,D,NV,,1,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,3,False,False,R000608,False,1957.0,69.0,F,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394495412844037,0.0,0.4357798165137614,0.0,0.0,0.0,0.0,1.0,6.238324625039508,0.6931471805599453,1.0,0.0
